x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.38,959.881,40.7554,0.000130036,1059.82,2.54884e-06,3.63549e-94,8.60943e-45,1.24093e-65,1.15628e-119,1059.82,-99.939,99.939,-2.45217
0.385,1170.79,43.6921,2.78394e-05,1137.67,1.22809e-05,3.80145e-90,2.34276e-43,2.71294e-64,9.38317e-118,1137.67,33.1222,33.1222,0.758081
0.39,1235.68,44.8553,5.56833e-06,1166.24,5.59267e-05,3.26177e-86,6.06167e-42,5.75054e-63,7.35659e-116,1166.24,69.4387,69.4387,1.54806
0.395,1158.89,44.4297,1.04054e-06,1141.69,0.000240716,2.29654e-82,1.49131e-40,1.18181e-61,5.57238e-114,1141.69,17.2013,17.2013,0.387157
0.4,1118.78,44.4185,1.81661e-07,1067.32,0.000979244,1.32682e-78,3.4886e-39,2.35485e-60,4.07796e-112,1067.32,51.4509,51.4509,1.15832
0.405,1040.68,43.9773,2.96302e-08,952.868,0.00376509,6.2902e-75,7.7597e-38,4.54935e-59,2.88326e-110,952.872,87.8091,87.8091,1.99669
0.41,801.954,41.6413,4.51519e-09,812.377,0.0136823,2.447e-71,1.64115e-36,8.52137e-58,1.96952e-108,812.391,-10.4366,10.4366,-0.250632
0.415,634.942,40.0625,6.42817e-10,661.41,0.0469938,7.81126e-68,3.30037e-35,1.54754e-56,1.2998e-106,661.457,-26.5146,26.5146,-0.661832
0.42,463.993,38.3536,8.55002e-11,514.247,0.152553,2.04609e-64,6.31084e-34,2.72488e-55,8.28764e-105,514.399,-50.4066,50.4066,-1.31426
0.425,304.454,36.7015,1.06247e-11,381.822,0.468061,4.3979e-61,1.14742e-32,4.65185e-54,5.10531e-103,382.29,-77.8362,77.8362,-2.12079
0.43,240.673,36.2905,1.23349e-12,270.731,1.35732,7.75679e-58,1.98365e-31,7.69976e-53,3.03845e-101,272.089,-31.4159,31.4159,-0.865678
0.435,136.997,35.2846,1.3379e-13,183.318,3.72014,1.12263e-54,3.26076e-30,1.23567e-51,1.74711e-99,187.038,-50.0408,50.0408,-1.41821
0.44,120.774,35.4683,1.35575e-14,118.538,9.63689,1.33323e-51,5.09663e-29,1.92264e-50,9.70565e-98,128.175,-7.40094,7.40094,-0.208664
0.445,144.292,36.1663,1.28353e-15,73.1981,23.5946,1.29925e-48,7.57456e-28,2.90047e-49,5.20916e-96,96.7927,47.4996,47.4996,1.31337
0.45,186.52,37.0675,1.13527e-16,43.1648,54.5994,1.03895e-45,1.07039e-26,4.2424e-48,2.70115e-94,97.7642,88.7554,88.7554,2.39443
0.455,342.316,39.3827,9.38132e-18,24.308,119.416,6.81736e-43,1.43825e-25,6.01627e-47,1.35322e-92,143.724,198.592,198.592,5.04262
0.46,497.541,41.5331,7.24264e-19,13.0724,246.851,3.67074e-40,1.83755e-24,8.27211e-46,6.54974e-91,259.923,237.617,237.617,5.72115
