x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.995,4529.05,73.9932,1.6123e-308,4.60255e-144,3.7183e-106,3.65108e-244,1.47548e-32,0.135796,4413.01,4413.15,115.901,115.901,1.56637
1,5266.02,78.7845,8.04913e-313,1.70738e-146,1.73622e-108,1.04269e-250,8.15106e-34,0.0662293,5172.29,5172.35,93.6639,93.6639,1.18886
1.005,5946.75,82.9578,3.75431e-317,6.04851e-149,7.6624e-111,2.44348e-257,4.2816e-35,0.0313176,5856.9,5856.93,89.8203,89.8203,1.08272
1.01,6444.19,85.8662,0,2.04623e-151,3.19612e-113,4.6987e-264,2.13849e-36,0.0143582,6407.53,6407.54,36.652,36.652,0.426851
1.015,6764.3,87.6698,0,6.61075e-154,1.26003e-115,7.41417e-271,1.01559e-37,0.00638237,6772.54,6772.54,-8.24284,8.24284,-0.0940214
1.02,6811.01,87.892,0,2.03955e-156,4.69503e-118,9.59986e-278,4.58608e-39,0.00275067,6915.92,6915.92,-104.914,104.914,-1.19367
1.025,6743.27,87.4586,0,6.00905e-159,1.65346e-120,1.01996e-284,1.96913e-40,0.00114939,6823.18,6823.18,-79.9064,79.9064,-0.913648
1.03,6474.03,85.8545,0,1.6907e-161,5.50362e-123,8.8924e-292,8.03925e-42,0.000465662,6503.71,6503.71,-29.6797,29.6797,-0.345698
1.035,6020.23,83.1144,0,4.54269e-164,1.73142e-125,6.36167e-299,3.12081e-43,0.000182913,5989.26,5989.26,30.966,30.966,0.372571
1.04,5308.82,78.6575,0,1.1656e-166,5.14819e-128,3.73456e-306,1.15194e-44,6.96617e-05,5328.73,5328.73,-19.9111,19.9111,-0.253136
1.045,4465.74,73.0342,0,2.8561e-169,1.44679e-130,1.79898e-313,4.04297e-46,2.57226e-05,4580.49,4580.49,-114.748,114.748,-1.57115
1.05,3720.94,67.6683,0,6.68323e-172,3.84288e-133,6.40803e-321,1.34922e-47,9.20892e-06,3803.97,3803.97,-83.0333,83.0333,-1.22706
1.055,3074.37,62.6259,0,1.49344e-174,9.6473e-136,0,4.28129e-49,3.19651e-06,3052.12,3052.12,22.2499,22.2499,0.355283
1.06,2368.97,56.6216,0,3.18696e-177,2.28904e-138,0,1.29174e-50,1.07576e-06,2365.94,2365.94,3.03067,3.03067,0.0535251
1.065,1804.68,51.2933,0,6.49461e-180,5.13336e-141,0,3.70585e-52,3.51017e-07,1771.91,1771.91,32.7691,32.7691,0.638857
1.07,1278.46,45.7602,0,1.26392e-182,1.08805e-143,0,1.0109e-53,1.11049e-07,1282.09,1282.09,-3.63258,3.63258,-0.079383
1.075,921.249,41.5452,0,2.34894e-185,2.17968e-146,0,2.62205e-55,3.40622e-08,896.262,896.262,24.987,24.987,0.601441
1.08,618.992,37.5899,0,4.16882e-188,4.12703e-149,0,6.4667e-57,1.01299e-08,605.325,605.325,13.6673,13.6673,0.363589
1.085,409.635,34.5398,0,7.06551e-191,7.38551e-152,0,1.51647e-58,2.92085e-09,394.984,394.984,14.6509,14.6509,0.424175
1.09,332.124,33.2415,0,1.14357e-193,1.24917e-154,0,3.3814e-60,8.16557e-10,249.005,249.005,83.1188,83.1188,2.50045
1.095,194.405,30.9354,0,1.76753e-196,1.99694e-157,0,7.16915e-62,2.21328e-10,151.661,151.661,42.7437,42.7437,1.38171
1.1,183.424,30.5941,0,2.60893e-199,3.0172e-160,0,1.44527e-63,5.81647e-11,89.2441,89.2441,94.1799,94.1799,3.07837
1.105,100.127,29.0345,0,3.67743e-202,4.30867e-163,0,2.77039e-65,1.48203e-11,50.7367,50.7367,49.3898,49.3898,1.70108
1.11,82.4584,28.5657,0,4.95012e-205,5.81542e-166,0,5.04943e-67,3.66121e-12,27.8678,27.8678,54.5906,54.5906,1.91105
1.115,74.3655,28.2666,0,6.36318e-208,7.41853e-169,0,8.75092e-69,8.76934e-13,14.7884,14.7884,59.5771,59.5771,2.10769
1.12,57.7935,27.8209,0,7.81127e-211,8.94446e-172,0,1.44203e-70,2.03649e-13,7.58188,7.58188,50.2116,50.2116,1.80482
1.125,57.6885,27.6767,0,9.15708e-214,1.01927e-174,0,2.25947e-72,4.58532e-14,3.75553,3.75553,53.933,53.933,1.94868
1.13,20.0187,26.8514,0,1.02513e-216,1.0978e-177,0,3.36626e-74,1.00099e-14,1.79723,1.79723,18.2215,18.2215,0.678603
1.135,-5.20024,26.2488,0,1.09595e-219,1.11752e-180,0,4.7687e-76,2.11868e-15,0.830946,0.830946,-6.03118,6.03118,-0.22977
1.14,18.0533,26.5707,0,1.1189e-222,1.0752e-183,0,6.42334e-78,4.34782e-16,0.371177,0.371177,17.6821,17.6821,0.665475
1.145,25.8009,26.6083,0,1.09089e-225,9.77728e-187,0,8.22683e-80,8.65069e-17,0.160187,0.160187,25.6407,25.6407,0.963636
1.15,28.0641,26.5518,0,1.01568e-228,8.40326e-190,0,1.00188e-81,1.6688e-17,0.0667897,0.0667897,27.9973,27.9973,1.05444
1.155,-8.13537,25.7682,0,9.03068e-232,6.82616e-193,0,1.16013e-83,3.12125e-18,0.0269049,0.0269049,-8.16227,8.16227,-0.316758
1.16,-28.776,25.2784,0,7.66784e-235,5.24088e-196,0,1.27734e-85,5.66014e-19,0.010471,0.010471,-28.7865,28.7865,-1.13877
1.165,-17.8361,25.4165,0,6.21748e-238,3.80304e-199,0,1.33727e-87,9.95172e-20,0.0039372,0.0039372,-17.8401,17.8401,-0.701908
1.17,0.705803,25.7099,0,4.81441e-241,2.60829e-202,0,1.33119e-89,1.69646e-20,0.00143028,0.00143028,0.704372,0.704372,0.0273969
1.175,6.87141,25.7682,0,3.56008e-244,1.69076e-205,0,1.26e-91,2.80388e-21,0.00050199,0.00050199,6.87091,6.87091,0.266643
1.18,-2.3177,25.5343,0,2.514e-247,1.03587e-208,0,1.134e-93,4.49314e-22,0.000170218,0.000170218,-2.31787,2.31787,-0.0907747
1.185,33.1601,26.1725,0,1.69535e-250,5.99828e-212,0,9.70427e-96,6.98092e-23,5.5764e-05,5.5764e-05,33.16,33.16,1.26698
1.19,4.32634,25.5734,0,1.09179e-253,3.28283e-215,0,7.89631e-98,1.0516e-23,1.76498e-05,1.76498e-05,4.32632,4.32632,0.169173
1.195,7.20269,25.593,0,6.71446e-257,1.69812e-218,0,6.10936e-100,1.53588e-24,5.39715e-06,5.39715e-06,7.20268,7.20268,0.281432
1.2,19.8107,25.807,0,3.94338e-260,8.3021e-222,0,4.49445e-102,2.1749e-25,1.59451e-06,1.59451e-06,19.8107,19.8107,0.76765
1.205,8.17207,25.5539,0,2.21164e-263,3.83624e-225,0,3.14389e-104,2.98603e-26,4.55121e-07,4.55121e-07,8.17207,8.17207,0.319798
1.21,39.3083,26.1343,0,1.18454e-266,1.67542e-228,0,2.09107e-106,3.97486e-27,1.25506e-07,1.25506e-07,39.3083,39.3083,1.50409
1.215,11.241,25.5734,0,6.0586e-270,6.91576e-232,0,1.32245e-108,5.13005e-28,3.3438e-08,3.3438e-08,11.241,11.241,0.43956
1.22,13.9919,25.6125,0,2.95926e-273,2.69808e-235,0,7.95246e-111,6.41941e-29,8.60704e-09,8.60704e-09,13.9919,13.9919,0.546291
1.225,7.58243,25.4755,0,1.38033e-276,9.94876e-239,0,4.54708e-113,7.78828e-30,2.14045e-09,2.14045e-09,7.58243,7.58243,0.297637
1.23,34.0343,25.9808,0,6.14851e-280,3.46723e-242,0,2.47214e-115,9.16138e-31,5.14274e-10,5.14274e-10,34.0343,34.0343,1.30998
1.235,8.36906,25.4755,0,2.61544e-283,1.14207e-245,0,1.27798e-117,1.04485e-31,1.19377e-10,1.19377e-10,8.36906,8.36906,0.328514
1.24,6.60835,25.4362,0,1.06245e-286,3.55554e-249,0,6.28182e-120,1.15536e-32,2.67724e-11,2.67724e-11,6.60835,6.60835,0.259801
1.245,10.7737,25.5147,0,4.12155e-290,1.0462e-252,0,2.93601e-122,1.23867e-33,5.80083e-12,5.80083e-12,10.7737,10.7737,0.422257
1.25,50.8869,26.2869,0,1.52686e-293,2.90954e-256,0,1.30478e-124,1.28756e-34,1.21431e-12,1.21431e-12,50.8869,50.8869,1.93583
1.255,22.9693,25.7488,0,5.40168e-297,7.64772e-260,0,5.51352e-127,1.29763e-35,2.4559e-13,2.4559e-13,22.9693,22.9693,0.892055
1.26,9.0427,25.4755,0,1.82493e-300,1.89994e-263,0,2.21529e-129,1.26797e-36,4.79873e-14,4.79873e-14,9.0427,9.0427,0.354957
1.265,28.1286,25.8457,0,5.88775e-304,4.46113e-267,0,8.46332e-132,1.20126e-37,9.05902e-15,9.05902e-15,28.1286,28.1286,1.08833
1.27,25.2486,25.7876,0,1.81402e-307,9.90033e-271,0,3.07441e-134,1.10342e-38,1.65224e-15,1.65224e-15,25.2486,25.2486,0.9791
1.275,2.42441,25.3377,0,5.33732e-311,2.0766e-274,0,1.06192e-136,9.8269e-40,2.91141e-16,2.91141e-16,2.42441,2.42441,0.095684
1.28,7.67752,25.4362,0,1.49966e-314,4.11677e-278,0,3.48766e-139,8.48526e-41,4.95647e-17,4.95647e-17,7.67752,7.67752,0.301835
1.285,0.0295773,25.2784,0,4.02201e-318,7.71361e-282,0,1.08914e-141,7.10373e-42,8.15226e-18,8.15226e-18,0.0295773,0.0295773,0.00117006
1.29,-21.4978,24.8395,0,0,1.36602e-285,0,3.23404e-144,5.76608e-43,1.29545e-18,1.29545e-18,-21.4978,21.4978,-0.86547
1.295,7.11692,25.3969,0,0,2.28643e-289,0,9.13096e-147,4.53783e-44,1.98886e-19,1.98886e-19,7.11692,7.11692,0.280228
1.3,-21.1046,24.8193,0,0,3.61707e-293,0,2.4513e-149,3.46249e-45,2.95001e-20,2.95001e-20,-21.1046,21.1046,-0.850328
1.305,15.8593,25.5343,0,0,5.40822e-297,0,6.25731e-152,2.56154e-46,4.22747e-21,4.22747e-21,15.8593,15.8593,0.621096
1.31,33.0301,25.8457,0,0,7.64277e-301,0,1.51876e-154,1.83733e-47,5.85297e-22,5.85297e-22,33.0301,33.0301,1.27797
1.315,45.4294,26.0576,0,0,1.02081e-304,0,3.50509e-157,1.27775e-48,7.82906e-23,7.82906e-23,45.4294,45.4294,1.74342
1.32,36.0789,25.8457,0,0,1.28867e-308,0,7.69166e-160,8.61546e-50,1.01177e-23,1.01177e-23,36.0789,36.0789,1.39594
1.325,41.0002,25.9037,0,0,1.53757e-312,0,1.60491e-162,5.63227e-51,1.26325e-24,1.26325e-24,41.0002,41.0002,1.5828
1.33,38.2149,25.807,0,0,1.73347e-316,0,3.18414e-165,3.56994e-52,1.52383e-25,1.52383e-25,38.2149,38.2149,1.4808
1.335,1.74449,25.04,0,0,0,0,6.00679e-168,2.19388e-53,1.77591e-26,1.77591e-26,1.74449,1.74449,0.0696683
1.34,-18.3893,24.5764,0,0,0,0,1.07747e-170,1.30718e-54,1.9996e-27,1.9996e-27,-18.3893,18.3893,-0.748251
