"thth","T200","T300","T400","T500","T600","T700","T800","T900"
11.37001,-69.02049,-9.00519,47.42745,108.29307,166.78828,231.90229,308.88856,395.68687
11.39046,-72.16235,-11.34379,46.68734,106.12005,166.75469,232.36646,309.01897,395.81484
11.4109,-69.54968,-9.23617,47.28286,110.21667,166.51313,231.97693,308.95524,395.82375
11.43135,-68.33804,-10.26108,46.9349,108.11771,166.95589,231.71245,309.10142,395.82276
11.4518,-69.98296,-10.17809,47.48609,106.82911,166.8201,232.23052,309.0736,395.82172
11.47224,-70.13602,-11.83098,48.53672,108.50766,166.38672,231.80719,308.73128,395.70641
11.49269,-69.14442,-8.96406,47.55646,108.59203,166.76901,232.18302,308.88314,395.72089
11.51313,-69.06818,-10.1634,46.96339,108.53526,166.93786,231.78667,309.08023,395.70234
11.53358,-70.71017,-10.96355,47.38427,107.37563,166.47984,231.81286,308.80325,396.12396
11.55403,-71.37017,-10.29774,47.08187,107.7376,166.8801,232.24161,308.71816,395.68708
11.57447,-69.33873,-10.34478,47.80016,108.81354,166.69552,231.85312,309.09016,395.93219
11.59492,-70.21472,-9.00035,47.21458,107.95708,166.90099,231.82682,308.7142,396.08151
11.61537,-69.74669,-10.33035,47.02115,107.67505,166.64214,232.17719,308.7834,395.86693
11.63581,-71.60079,-11.24391,47.08453,109.45693,166.76396,232.05292,308.85408,395.88969
11.65626,-68.93991,-11.48441,46.11219,107.76797,166.6162,232.07479,309.15246,395.8026
11.67671,-69.33715,-11.59784,47.33396,107.25901,166.68464,232.0563,308.73231,395.68708
11.69715,-71.58263,-9.53516,47.89047,107.19984,166.93917,231.6938,308.90399,396.0162
11.7176,-68.19729,-8.19824,45.63599,108.71948,166.8124,231.76885,308.64351,395.91776
11.73805,-70.73478,-10.73489,46.93479,106.94266,166.47422,232.00958,309.1265,395.68708
11.75849,-70.01543,-11.43828,46.63724,108.74682,166.95448,231.96536,308.7074,396.0626
11.77894,-69.60911,-11.27246,47.665,106.65792,166.87214,231.9613,308.84166,395.68708
11.79938,-70.72523,-8.98297,47.58969,107.69563,166.71578,232.14896,309.08946,395.93078
11.81983,-70.68022,-10.38194,46.84484,110.53328,166.58531,232.04016,308.54727,395.84677
11.84028,-69.55378,-10.80945,47.35214,106.74479,166.74437,231.76927,308.71663,395.88422
11.86072,-70.44817,-9.51798,47.7876,108.76656,166.87359,232.02063,308.83714,395.69646
11.88117,-69.09258,-10.74009,45.27328,107.1125,166.52354,232.08141,308.81335,395.86708
11.90162,-69.37576,-11.28592,48.16771,106.74349,167.11896,232.05984,308.97094,395.81094
11.92206,-69.74301,-10.48877,46.63573,108.85557,166.75552,231.84891,308.78095,395.68708
11.94251,-70.91632,-11.1238,47.27667,107.21849,166.78568,231.70542,309.117,395.86365
11.96296,-71.09547,-9.36161,46.79646,108.43672,166.73911,232.08594,308.90945,395.7062
11.9834,-69.12546,-10.45928,48.37479,108.06531,166.63406,231.91172,308.48064,395.90432
12.00385,-68.21842,-11.1811,47.24,107.73802,166.93844,232.01672,308.90546,395.86974
12.02429,-70.5841,-10.26749,46.14255,108.21589,166.86813,231.83609,309.073,395.90151
12.04474,-70.50187,-9.27803,48.74557,107.80385,166.67,232.14714,308.86356,395.68708
12.06519,-70.54066,-11.15543,46.71432,108.4149,166.7275,231.86344,308.53337,395.99786
12.08563,-68.88072,-11.11005,46.96208,106.50484,166.74828,231.86667,308.6965,395.84391
12.10608,-69.83726,-9.74773,46.7626,107.48266,166.83203,232.05885,308.89517,395.92714
12.12653,-69.41306,-10.05899,48.15932,107.65578,166.69078,231.80813,308.71054,395.73
12.14697,-70.5689,-11.29631,48.09312,107.86786,166.73214,232.00958,309.06255,395.90271
12.16742,-71.80474,-9.55507,47.5675,108.84312,166.90292,232.0425,308.77793,396.00703
12.18787,-69.68174,-9.79511,46.87839,107.55932,166.74823,232.06911,308.60896,395.68708
12.20831,-69.46947,-11.11257,48.04995,106.73052,166.98411,232.01313,308.68928,395.74063
12.22876,-71.19826,-10.27421,48.77156,107.66823,166.75719,231.97156,308.67712,395.8374
12.24921,-70.03164,-10.82046,46.95401,107.4099,166.7275,232.14521,308.81217,395.76401
12.26965,-69.03475,-9.55614,46.47667,108.69984,166.68224,232.20354,308.79052,396.08901
12.2901,-69.18078,-9.28516,46.8837,106.53651,166.88901,231.83083,308.63856,395.68708
12.31054,-69.70758,-11.55958,47.04104,109.19375,166.91292,232.01531,308.72966,395.82969
12.33099,-70.73453,-10.29189,48.29344,107.74198,166.63286,231.87016,308.59236,395.70786
12.35144,-69.69831,-10.96777,47.97885,107.30266,166.67917,232.00958,308.71432,395.79547
12.37188,-69.65783,-9.99429,47.05859,108.4649,167.05599,232.05458,308.92039,395.74448
12.39233,-71.83405,-10.00997,47.84401,106.89391,166.6926,232.13125,308.82799,395.68708
12.41278,-69.95898,-10.92332,46.78344,106.74505,166.70167,232.17021,308.4822,395.81094
12.43322,-68.83355,-10.15229,48.3587,108.60109,167.09276,232.26458,308.51848,395.79161
12.45367,-70.61523,-11.59004,48.82396,107.72198,166.77135,231.97057,308.96085,395.97812
12.47412,-69.3638,-10.51378,47.28719,108.67781,166.79875,232.08901,308.73325,395.68708
12.49456,-70.44329,-9.85229,47.26552,108.4787,167.08625,232.06891,308.54676,395.85875
12.51501,-69.55708,-9.80921,48.25927,107.9388,166.67115,231.73073,308.7492,395.95536
12.53546,-70.80904,-10.44868,48.56651,107.51172,166.71255,232.08344,308.54986,395.90005
12.5559,-70.91459,-11.36941,46.99078,108.20359,166.72797,232.05693,308.68658,396.02453
12.57635,-70.5689,-9.67457,45.90583,110.01885,166.67469,231.96661,308.72607,395.68708
12.59679,-70.32729,-11.34818,48.09208,107.11396,167.04016,232.05818,308.32175,395.95109
12.61724,-69.99304,-10.5704,47.31922,106.90422,166.67849,232.19719,308.80344,395.85406
12.63769,-68.96929,-9.47524,47.31797,108.06922,166.86214,231.98771,308.76943,395.68708
12.65813,-69.25577,-9.72547,47.4499,108.73771,167.04969,231.79807,308.65576,395.82193
12.67858,-69.63048,-10.81439,47.43609,106.52187,166.60536,231.80068,308.51429,395.89865
